text,label_str,label,text_length,word_count,text_original,changed,label_id
i am here again feeling confused of what is happening around me looking for a plane to grasp a reality to settle that feels like it is my own,fear,1,141,29,i am here again feeling confused of what is happening around me looking for a plane to grasp a reality to settle that feels like it is my own,False,1
im feeling the fight as i struggle with feelings that im sure are not right,joy,2,75,15,im feeling the fight as i struggle with feelings that im sure are not right,False,2
i also feel that the people in the village friendly and i do not need to be as alert as in manila though as the common sense rule still stays that is not to let your guard down,joy,2,176,38,i also feel that the people in the village friendly and i do not need to be as alert as in manila though as the common sense rule still stays that is not to let your guard down,False,2
ive borne witness to the suffering of other innocent children at the hands of the violent and i feel helpless in trying to make things better for them,sadness,4,150,28,ive borne witness to the suffering of other innocent children at the hands of the violent and i feel helpless in trying to make things better for them,False,4
i feel specially fond of,love,3,24,5,i feel specially fond of,False,3
i feel foolish admitting how hard this hit me,sadness,4,45,9,i feel foolish admitting how hard this hit me,False,4
i feel very indecisive about it,fear,1,31,6,i feel very indecisive about it,False,1
i feel proud to be queer performing at lovebox,joy,2,46,9,i feel proud to be queer performing at lovebox,False,2
im still feeling thankful and in that vein thought id celebrate blogging by sharing some moments experiences from this fall that i am grateful for,joy,2,146,25,im still feeling thankful and in that vein thought id celebrate blogging by sharing some moments experiences from this fall that i am grateful for,False,2
i feel as if im trying to be so considerate of others,love,3,53,12,i feel as if im trying to be so considerate of others,False,3
i was in the throes of being brought to the edge i once again felt that same feeling of submissive ownership emotions building,sadness,4,126,23,i was in the throes of being brought to the edge i once again felt that same feeling of submissive ownership emotions building,False,4
im wanting you to look at me that it makes people feel ok to ask questions,joy,2,74,16,im wanting you to look at me that it makes people feel ok to ask questions,False,2
i began making dinner feeling good that i had succeeded in listening which resulted in a now cheerful husband,joy,2,109,19,i began making dinner feeling good that i had succeeded in listening which resulted in a now cheerful husband,False,2
i just remember getting in the car and my body feeling really lame,sadness,4,66,13,i just remember getting in the car and my body feeling really lame,False,4
i trust my kids however i feel helpless enough in here over so many things and i m upset at the lack of respect for the few little things i asked them not to do,fear,1,160,35,i trust my kids however i feel helpless enough in here over so many things and i m upset at the lack of respect for the few little things i asked them not to do,False,1
i began to feel each of my senses dull until the cold black unconsciousness over came me,sadness,4,88,17,i began to feel each of my senses dull until the cold black unconsciousness over came me,False,4
ive been feeling completely stupid about this whole thing,sadness,4,57,9,ive been feeling completely stupid about this whole thing,False,4
i loathe stuffed animals they make me feel a bit violent and i have been known to punch them,anger,0,92,19,i loathe stuffed animals they make me feel a bit violent and i have been known to punch them,False,0
i feel that the thighs are being stubborn and not going away at the same rate as stomach arms or butt,anger,0,101,21,i feel that the thighs are being stubborn and not going away at the same rate as stomach arms or butt,False,0
i can go on not saying anything and feeling petty but it seems that this load is gettin heavy,anger,0,93,19,i can go on not saying anything and feeling petty but it seems that this load is gettin heavy,False,0
i feel extremely discontent right now,sadness,4,37,6,i feel extremely discontent right now,False,4
i sing i feel weird,fear,1,19,5,i sing i feel weird,False,1
i feel like normally i would be angry because thats what i actually think that i could never be beautiful at my size,anger,0,116,23,i feel like normally i would be angry because thats what i actually think that i could never be beautiful at my size,False,0
i may be feeling more generous than normal but i really think a lot of teams did well in drafting good players at good spots and filling needs,joy,2,142,28,i may be feeling more generous than normal but i really think a lot of teams did well in drafting good players at good spots and filling needs,False,2
i feel that i am afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do,fear,1,156,36,i feel that i am afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do,False,1
i certainly do sound like some lowdown bitch who is just countering back what people have to say but whatever it is what exactly bothers me oh well bet that hit one of their aims is that i wonder why people feel so entertained exhilarated thrilled excited when they provoke the feelings of others,joy,2,296,54,i certainly do sound like some lowdown bitch who is just countering back what people have to say but whatever it is what exactly bothers me oh well bet that hit one of their aims is that i wonder why people feel so entertained exhilarated thrilled excited when they provoke the feelings of others,False,2
one day,sadness,4,7,2,one day,False,4
i didn t really know many other ill people but nowadays i do and i m so glad that i do knowing other people in a similar position people who truly get how you feel is a wonderful thing,joy,2,184,39,i didn t really know many other ill people but nowadays i do and i m so glad that i do knowing other people in a similar position people who truly get how you feel is a wonderful thing,False,2
